[SYS] 2024/11/06 - 14:38:09 | One API v0.6.7 started 
[SYS] 2024/11/06 - 14:38:09 | using MySQL as database 
[FATAL] 2024/11/06 - 14:38:09 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/11/06 - 14:38:11 | One API v0.6.7 started 
[SYS] 2024/11/06 - 14:38:11 | using MySQL as database 
[FATAL] 2024/11/06 - 14:38:11 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/11/06 - 14:38:12 | One API v0.6.7 started 
[SYS] 2024/11/06 - 14:38:12 | using MySQL as database 
[FATAL] 2024/11/06 - 14:38:12 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/11/06 - 14:38:13 | One API v0.6.7 started 
[SYS] 2024/11/06 - 14:38:13 | using MySQL as database 
[FATAL] 2024/11/06 - 14:38:13 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/11/06 - 14:38:15 | One API v0.6.7 started 
[SYS] 2024/11/06 - 14:38:15 | using MySQL as database 
[FATAL] 2024/11/06 - 14:38:15 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/11/06 - 14:38:17 | One API v0.6.7 started 
[SYS] 2024/11/06 - 14:38:17 | using MySQL as database 
[SYS] 2024/11/06 - 14:38:17 | database migration started 
[SYS] 2024/11/06 - 14:38:17 | database migrated 
[SYS] 2024/11/06 - 14:38:17 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/11/06 - 14:38:17 | using theme default 
[SYS] 2024/11/06 - 14:38:17 | memory cache enabled 
[SYS] 2024/11/06 - 14:38:17 | sync frequency: 600 seconds 
[SYS] 2024/11/06 - 14:38:17 | channels synced from database 
[SYS] 2024/11/06 - 14:38:17 | batch update enabled with interval 10s 
[SYS] 2024/11/06 - 14:38:17 | initializing token encoders 
[SYS] 2024/11/06 - 14:38:18 | token encoders initialized 
[SYS] 2024/11/06 - 14:38:18 | server started on http://localhost:3000 
[SYS] 2024/11/06 - 14:38:27 | batch update started 
[SYS] 2024/11/06 - 14:38:27 | batch update finished 
[SYS] 2024/11/06 - 14:38:37 | batch update started 
[SYS] 2024/11/06 - 14:38:37 | batch update finished 
[SYS] 2024/11/06 - 14:38:47 | batch update started 
[SYS] 2024/11/06 - 14:38:47 | batch update finished 
[SYS] 2024/11/06 - 14:38:57 | batch update started 
