[SYS] 2024/10/27 - 06:18:00 | One API v0.6.7 started 
[SYS] 2024/10/27 - 06:18:00 | using MySQL as database 
[FATAL] 2024/10/27 - 06:18:00 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/27 - 06:18:01 | One API v0.6.7 started 
[SYS] 2024/10/27 - 06:18:01 | using MySQL as database 
[FATAL] 2024/10/27 - 06:18:01 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/27 - 06:18:02 | One API v0.6.7 started 
[SYS] 2024/10/27 - 06:18:02 | using MySQL as database 
[FATAL] 2024/10/27 - 06:18:02 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/27 - 06:18:03 | One API v0.6.7 started 
[SYS] 2024/10/27 - 06:18:03 | using MySQL as database 
[FATAL] 2024/10/27 - 06:18:03 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/27 - 06:18:05 | One API v0.6.7 started 
[SYS] 2024/10/27 - 06:18:05 | using MySQL as database 
[FATAL] 2024/10/27 - 06:18:05 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/27 - 06:18:07 | One API v0.6.7 started 
[SYS] 2024/10/27 - 06:18:07 | using MySQL as database 
[SYS] 2024/10/27 - 06:18:07 | database migration started 
[SYS] 2024/10/27 - 06:18:07 | database migrated 
[SYS] 2024/10/27 - 06:18:07 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/27 - 06:18:07 | using theme default 
[SYS] 2024/10/27 - 06:18:07 | memory cache enabled 
[SYS] 2024/10/27 - 06:18:07 | sync frequency: 600 seconds 
[SYS] 2024/10/27 - 06:18:07 | channels synced from database 
[SYS] 2024/10/27 - 06:18:07 | batch update enabled with interval 10s 
[SYS] 2024/10/27 - 06:18:07 | initializing token encoders 
[SYS] 2024/10/27 - 06:18:07 | token encoders initialized 
[SYS] 2024/10/27 - 06:18:07 | server started on http://localhost:3000 
[SYS] 2024/10/27 - 06:18:17 | batch update started 
[SYS] 2024/10/27 - 06:18:17 | batch update finished 
[SYS] 2024/10/27 - 06:18:27 | batch update started 
[SYS] 2024/10/27 - 06:18:27 | batch update finished 
[SYS] 2024/10/27 - 06:18:37 | batch update started 
[SYS] 2024/10/27 - 06:18:37 | batch update finished 
[SYS] 2024/10/27 - 06:18:47 | batch update started 
[SYS] 2024/10/27 - 06:18:47 | batch update finished 
[SYS] 2024/10/27 - 06:18:57 | batch update started 
[SYS] 2024/10/27 - 06:18:57 | batch update finished 
[SYS] 2024/10/27 - 06:19:07 | batch update started 
[SYS] 2024/10/27 - 06:19:07 | batch update finished 
[SYS] 2024/10/27 - 06:19:17 | batch update started 
[SYS] 2024/10/27 - 06:19:17 | batch update finished 
[SYS] 2024/10/27 - 06:19:27 | batch update started 
[SYS] 2024/10/27 - 06:19:27 | batch update finished 
[SYS] 2024/10/27 - 06:19:37 | batch update started 
[SYS] 2024/10/27 - 06:19:37 | batch update finished 
[SYS] 2024/10/27 - 06:19:47 | batch update started 
[SYS] 2024/10/27 - 06:19:47 | batch update finished 
[SYS] 2024/10/27 - 06:19:57 | batch update started 
[SYS] 2024/10/27 - 06:19:57 | batch update finished 
[SYS] 2024/10/27 - 06:20:07 | batch update started 
[SYS] 2024/10/27 - 06:20:07 | batch update finished 
[SYS] 2024/10/27 - 06:20:17 | batch update started 
[SYS] 2024/10/27 - 06:20:17 | batch update finished 
[SYS] 2024/10/27 - 06:20:27 | batch update started 
[SYS] 2024/10/27 - 06:20:27 | batch update finished 
[SYS] 2024/10/27 - 06:20:37 | batch update started 
[SYS] 2024/10/27 - 06:20:37 | batch update finished 
[SYS] 2024/10/27 - 06:20:47 | batch update started 
[SYS] 2024/10/27 - 06:20:47 | batch update finished 
[SYS] 2024/10/27 - 06:20:57 | batch update started 
[SYS] 2024/10/27 - 06:20:57 | batch update finished 
[SYS] 2024/10/27 - 06:21:07 | batch update started 
[SYS] 2024/10/27 - 06:21:07 | batch update finished 
[SYS] 2024/10/27 - 06:21:17 | batch update started 
[SYS] 2024/10/27 - 06:21:17 | batch update finished 
[SYS] 2024/10/27 - 06:21:27 | batch update started 
[SYS] 2024/10/27 - 06:21:27 | batch update finished 
