[SYS] 2024/10/28 - 00:39:38 | One API v0.6.7 started 
[SYS] 2024/10/28 - 00:39:38 | using MySQL as database 
[FATAL] 2024/10/28 - 00:39:38 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/10/28 - 00:39:39 | One API v0.6.7 started 
[SYS] 2024/10/28 - 00:39:39 | using MySQL as database 
[FATAL] 2024/10/28 - 00:39:39 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/10/28 - 00:39:40 | One API v0.6.7 started 
[SYS] 2024/10/28 - 00:39:40 | using MySQL as database 
[FATAL] 2024/10/28 - 00:39:40 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/10/28 - 00:39:41 | One API v0.6.7 started 
[SYS] 2024/10/28 - 00:39:41 | using MySQL as database 
[FATAL] 2024/10/28 - 00:39:41 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/10/28 - 00:39:42 | One API v0.6.7 started 
[SYS] 2024/10/28 - 00:39:42 | using MySQL as database 
[FATAL] 2024/10/28 - 00:39:42 | [dial tcp 172.18.0.6:3306: connect: connection refused] 
[SYS] 2024/10/28 - 00:39:44 | One API v0.6.7 started 
[SYS] 2024/10/28 - 00:39:44 | using MySQL as database 
[SYS] 2024/10/28 - 00:39:44 | database migration started 
[SYS] 2024/10/28 - 00:39:45 | database migrated 
[SYS] 2024/10/28 - 00:39:45 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/28 - 00:39:45 | using theme default 
[SYS] 2024/10/28 - 00:39:45 | memory cache enabled 
[SYS] 2024/10/28 - 00:39:45 | sync frequency: 600 seconds 
[SYS] 2024/10/28 - 00:39:45 | channels synced from database 
[SYS] 2024/10/28 - 00:39:45 | batch update enabled with interval 10s 
[SYS] 2024/10/28 - 00:39:45 | initializing token encoders 
[SYS] 2024/10/28 - 00:39:46 | token encoders initialized 
[SYS] 2024/10/28 - 00:39:46 | server started on http://localhost:3000 
[SYS] 2024/10/28 - 00:39:55 | batch update started 
[SYS] 2024/10/28 - 00:39:55 | batch update finished 
[SYS] 2024/10/28 - 00:40:05 | batch update started 
[SYS] 2024/10/28 - 00:40:05 | batch update finished 
[SYS] 2024/10/28 - 00:40:15 | batch update started 
[SYS] 2024/10/28 - 00:40:15 | batch update finished 
[SYS] 2024/10/28 - 00:43:19 | batch update started 
[SYS] 2024/10/28 - 00:43:20 | batch update finished 
[SYS] 2024/10/28 - 00:43:30 | batch update started 
[SYS] 2024/10/28 - 00:43:30 | batch update finished 
[SYS] 2024/10/28 - 01:15:21 | syncing channels from database 
[SYS] 2024/10/28 - 01:15:21 | batch update started 
