[SYS] 2024/10/23 - 12:20:19 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:19 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:19 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:19 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:19 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:19 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:20 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:20 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:20 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:21 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:21 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:21 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:22 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:22 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:22 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:24 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:24 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:24 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:28 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:28 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:28 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:35 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:35 | using MySQL as database 
[FATAL] 2024/10/23 - 12:20:35 | [dial tcp 172.18.0.5:3306: connect: connection refused] 
[SYS] 2024/10/23 - 12:20:48 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:20:48 | using MySQL as database 
[SYS] 2024/10/23 - 12:20:48 | database migration started 
[SYS] 2024/10/23 - 12:20:48 | database migrated 
[SYS] 2024/10/23 - 12:20:48 | no user exists, creating a root user for you: username is root, password is 123456 
[SYS] 2024/10/23 - 12:20:49 | creating initial root token as requested 
[SYS] 2024/10/23 - 12:20:49 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/23 - 12:20:49 | using theme default 
[SYS] 2024/10/23 - 12:20:49 | memory cache enabled 
[SYS] 2024/10/23 - 12:20:49 | sync frequency: 600 seconds 
[SYS] 2024/10/23 - 12:20:49 | channels synced from database 
[SYS] 2024/10/23 - 12:20:49 | batch update enabled with interval 10s 
[SYS] 2024/10/23 - 12:20:49 | initializing token encoders 
[SYS] 2024/10/23 - 12:20:55 | token encoders initialized 
[SYS] 2024/10/23 - 12:20:55 | server started on http://localhost:3000 
[SYS] 2024/10/23 - 12:20:59 | batch update started 
[SYS] 2024/10/23 - 12:20:59 | batch update finished 
[SYS] 2024/10/23 - 12:21:04 | One API v0.6.7 started 
[SYS] 2024/10/23 - 12:21:04 | using MySQL as database 
[SYS] 2024/10/23 - 12:21:04 | database migration started 
[SYS] 2024/10/23 - 12:21:04 | database migrated 
[SYS] 2024/10/23 - 12:21:04 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/23 - 12:21:04 | using theme default 
[SYS] 2024/10/23 - 12:21:04 | memory cache enabled 
[SYS] 2024/10/23 - 12:21:04 | sync frequency: 600 seconds 
[SYS] 2024/10/23 - 12:21:04 | channels synced from database 
[SYS] 2024/10/23 - 12:21:04 | batch update enabled with interval 10s 
[SYS] 2024/10/23 - 12:21:04 | initializing token encoders 
[SYS] 2024/10/23 - 12:21:05 | token encoders initialized 
[SYS] 2024/10/23 - 12:21:05 | server started on http://localhost:3000 
[SYS] 2024/10/23 - 12:21:14 | batch update started 
[SYS] 2024/10/23 - 12:21:14 | batch update finished 
[SYS] 2024/10/23 - 12:21:24 | batch update started 
[SYS] 2024/10/23 - 12:21:24 | batch update finished 
[SYS] 2024/10/23 - 12:21:34 | batch update started 
[SYS] 2024/10/23 - 12:21:34 | batch update finished 
[SYS] 2024/10/23 - 12:21:44 | batch update started 
[SYS] 2024/10/23 - 12:21:44 | batch update finished 
[SYS] 2024/10/23 - 12:21:54 | batch update started 
[SYS] 2024/10/23 - 12:21:54 | batch update finished 
[SYS] 2024/10/23 - 12:22:04 | batch update started 
[SYS] 2024/10/23 - 12:22:04 | batch update finished 
[SYS] 2024/10/23 - 12:22:14 | batch update started 
[SYS] 2024/10/23 - 12:22:14 | batch update finished 
[SYS] 2024/10/23 - 12:22:24 | batch update started 
[SYS] 2024/10/23 - 12:22:24 | batch update finished 
[SYS] 2024/10/23 - 12:22:34 | batch update started 
[SYS] 2024/10/23 - 12:22:34 | batch update finished 
[SYS] 2024/10/23 - 12:22:44 | batch update started 
[SYS] 2024/10/23 - 12:22:44 | batch update finished 
[SYS] 2024/10/23 - 12:22:54 | batch update started 
[SYS] 2024/10/23 - 12:22:54 | batch update finished 
[SYS] 2024/10/23 - 12:23:04 | batch update started 
[SYS] 2024/10/23 - 12:23:04 | batch update finished 
[SYS] 2024/10/23 - 12:23:14 | batch update started 
[SYS] 2024/10/23 - 12:23:14 | batch update finished 
[SYS] 2024/10/23 - 12:23:24 | batch update started 
[SYS] 2024/10/23 - 12:23:24 | batch update finished 
[SYS] 2024/10/23 - 12:23:34 | batch update started 
[SYS] 2024/10/23 - 12:23:34 | batch update finished 
[SYS] 2024/10/23 - 12:23:44 | batch update started 
[SYS] 2024/10/23 - 12:23:44 | batch update finished 
[SYS] 2024/10/23 - 12:23:54 | batch update started 
[SYS] 2024/10/23 - 12:23:54 | batch update finished 
[SYS] 2024/10/23 - 12:24:04 | batch update started 
[SYS] 2024/10/23 - 12:24:04 | batch update finished 
